PROJECTNAME,PROJECTCODE,FISCALYEAR,REGION,DISTRICT,TOTALBUDGET,PROJECTSTATUS,PROJECTSECTOR
Construction of Classroom block at Katete Junior primary school in T/A Malili,257c9568,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Education
Construction of a classroom block and toilets at Chikuli Primary School,1d649299,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Education
Construction of a classroom block at Chimsolo Primary school,b4e2c1b6,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Education
Construction of a classroom block at Mchokera primary school,a8c95dc0,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Education
Construction of a classroom block at Mdabwi primary school,98f14b8b,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Education
Construction of a classroom block at Mpemba primary school,f3236d2e,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Education
Construction of a primary school at Songwe primary school in T/A Chitukula,9f61828e,April 2024 / March 2025,Central Region,Lilongwe,N/A,N/A,Education
