Project Name,DB Region,API Region,DB District,API District,DB Status,API Status,DB Budget,API Budget
Boma Stadium Phase 3,Central Region,Central Region,Mchinji,Mchinji,Approved,Approved,,Not available
Bua Girls Hostel (finishing),Central Region,Central Region,Mchinji,Mchinji,,None,,Not available
CHILAWE CLASSROOM BLOCK,Southern Region,Southern Region,Mangochi,Mangochi,,None,,Not available
CHILIPA CDSS GIRLS HOSTEL,Southern Region,Southern Region,Mangochi,Mangochi,,None,,Not available
CHIMWALIRE SCHOOL BLOCK,Southern Region,Southern Region,Mangochi,Mangochi,,None,,Not available
